2019-06-14 19:48:00,21.70 G,318.04 G,457.13 K,1.99 M
2019-06-14 19:48:02,21.70 G,318.04 G,431.99 K,1.89 M
2019-06-14 19:48:04,21.71 G,318.04 G,434.11 K,1.89 M
2019-06-14 19:48:06,21.71 G,318.05 G,450.95 K,1.99 M
2019-06-14 19:48:08,21.71 G,318.05 G,440.67 K,1.96 M
2019-06-14 19:48:10,21.71 G,318.06 G,434.38 K,1.90 M
2019-06-14 19:48:13,21.71 G,318.06 G,443.66 K,1.96 M
2019-06-14 19:48:15,21.71 G,318.06 G,454.83 K,1.98 M
2019-06-14 19:48:17,21.71 G,318.07 G,441.88 K,1.96 M
2019-06-14 19:48:19,21.71 G,318.07 G,448.19 K,1.95 M
2019-06-14 19:48:21,21.71 G,318.08 G,452.35 K,1.99 M
2019-06-14 19:48:23,21.71 G,318.08 G,444.06 K,1.94 M
2019-06-14 19:48:25,21.71 G,318.08 G,452.06 K,1.99 M
2019-06-14 19:48:27,21.71 G,318.09 G,472.98 K,2.08 M
2019-06-14 19:48:29,21.72 G,318.09 G,452.97 K,1.97 M
2019-06-14 19:48:31,21.72 G,318.10 G,440.24 K,1.93 M
2019-06-14 19:48:33,21.72 G,318.10 G,440.98 K,1.93 M
2019-06-14 19:48:35,21.72 G,318.10 G,430.25 K,1.90 M
2019-06-14 19:48:37,21.72 G,318.11 G,445.59 K,1.96 M
2019-06-14 19:48:39,21.72 G,318.11 G,429.60 K,1.88 M
2019-06-14 19:48:41,21.72 G,318.11 G,449.30 K,1.98 M
2019-06-14 19:48:43,21.72 G,318.12 G,454.98 K,1.98 M
2019-06-14 19:48:45,21.72 G,318.12 G,440.88 K,1.93 M
2019-06-14 19:48:47,21.72 G,318.13 G,455.46 K,2.01 M
2019-06-14 19:48:49,21.72 G,318.13 G,458.17 K,2.02 M
2019-06-14 19:48:51,21.73 G,318.13 G,452.61 K,2.00 M
2019-06-14 19:48:54,21.73 G,318.14 G,387.65 K,1.73 M
2019-06-14 19:48:56,21.73 G,318.14 G,390.02 K,1.75 M
2019-06-14 19:48:58,21.73 G,318.14 G,388.86 K,1.74 M
2019-06-14 19:49:00,21.73 G,318.15 G,400.22 K,1.81 M
2019-06-14 19:49:02,21.73 G,318.15 G,403.34 K,1.82 M
2019-06-14 19:49:04,21.73 G,318.15 G,399.74 K,1.78 M
2019-06-14 19:49:06,21.73 G,318.16 G,422.39 K,1.89 M
2019-06-14 19:49:08,21.73 G,318.16 G,402.41 K,1.80 M
2019-06-14 19:49:11,21.73 G,318.17 G,398.09 K,1.78 M
2019-06-14 19:49:13,21.73 G,318.17 G,401.62 K,1.79 M
2019-06-14 19:49:15,21.73 G,318.17 G,418.46 K,1.88 M
2019-06-14 19:49:17,21.73 G,318.18 G,405.15 K,1.81 M
2019-06-14 19:49:19,21.74 G,318.18 G,387.40 K,1.74 M
2019-06-14 19:49:21,21.74 G,318.18 G,401.70 K,1.79 M
2019-06-14 19:49:23,21.74 G,318.19 G,393.23 K,1.76 M
2019-06-14 19:49:25,21.74 G,318.19 G,400.08 K,1.80 M
2019-06-14 19:49:28,21.74 G,318.19 G,468.97 K,2.04 M
2019-06-14 19:49:30,21.74 G,318.20 G,441.64 K,1.93 M
2019-06-14 19:49:32,21.74 G,318.20 G,446.29 K,1.95 M
2019-06-14 19:49:34,21.74 G,318.21 G,446.65 K,1.93 M
2019-06-14 19:49:36,21.74 G,318.21 G,450.74 K,1.98 M
2019-06-14 19:49:38,21.74 G,318.21 G,437.03 K,1.91 M
2019-06-14 19:49:40,21.74 G,318.22 G,424.40 K,1.85 M
2019-06-14 19:49:42,21.74 G,318.22 G,458.23 K,1.97 M
2019-06-14 19:49:44,21.74 G,318.22 G,456.30 K,1.96 M
2019-06-14 19:49:46,21.75 G,318.23 G,462.06 K,1.96 M
2019-06-14 19:49:48,21.75 G,318.23 G,473.79 K,2.03 M
2019-06-14 19:49:50,21.75 G,318.24 G,464.09 K,1.99 M
2019-06-14 19:49:52,21.75 G,318.24 G,454.97 K,1.96 M
2019-06-14 19:49:54,21.75 G,318.24 G,469.24 K,2.01 M
2019-06-14 19:49:56,21.75 G,318.25 G,456.37 K,1.97 M
2019-06-14 19:49:58,21.75 G,318.25 G,453.66 K,1.95 M
