2019-06-16 15:40:08,1.02 G,4.88 G,298.54 K,1.32 M
2019-06-16 15:40:10,1.02 G,4.88 G,346.04 K,1.52 M
2019-06-16 15:40:12,1.02 G,4.88 G,325.08 K,1.44 M
2019-06-16 15:40:14,1.02 G,4.89 G,345.17 K,1.53 M
2019-06-16 15:40:16,1.02 G,4.89 G,318.04 K,1.41 M
2019-06-16 15:40:18,1.02 G,4.89 G,317.77 K,1.39 M
2019-06-16 15:40:20,1.02 G,4.90 G,324.95 K,1.43 M
2019-06-16 15:40:22,1.02 G,4.90 G,352.33 K,1.54 M
2019-06-16 15:40:24,1.02 G,4.90 G,317.54 K,1.41 M
2019-06-16 15:40:26,1.02 G,4.90 G,347.89 K,1.54 M
2019-06-16 15:40:28,1.02 G,4.91 G,324.81 K,1.43 M
2019-06-16 15:40:30,1.02 G,4.91 G,331.90 K,1.46 M
2019-06-16 15:40:32,1.03 G,4.91 G,282.02 K,1.25 M
2019-06-16 15:40:34,1.03 G,4.91 G,321.16 K,1.41 M
2019-06-16 15:40:36,1.03 G,4.92 G,324.28 K,1.43 M
2019-06-16 15:40:38,1.03 G,4.92 G,313.47 K,1.39 M
2019-06-16 15:40:40,1.03 G,4.92 G,321.06 K,1.42 M
2019-06-16 15:40:42,1.03 G,4.93 G,324.01 K,1.43 M
2019-06-16 15:40:44,1.03 G,4.93 G,346.05 K,1.53 M
2019-06-16 15:40:46,1.03 G,4.93 G,351.61 K,1.56 M
2019-06-16 15:40:48,1.03 G,4.93 G,331.95 K,1.46 M
2019-06-16 15:40:50,1.03 G,4.94 G,348.07 K,1.54 M
2019-06-16 15:40:52,1.03 G,4.94 G,343.60 K,1.50 M
2019-06-16 15:40:54,1.03 G,4.94 G,298.43 K,1.30 M
2019-06-16 15:40:56,1.03 G,4.94 G,323.94 K,1.43 M
2019-06-16 15:40:58,1.03 G,4.95 G,329.71 K,1.46 M
2019-06-16 15:41:00,1.03 G,4.95 G,318.58 K,1.42 M
2019-06-16 15:41:02,1.03 G,4.95 G,316.57 K,1.39 M
2019-06-16 15:41:04,1.03 G,4.96 G,319.95 K,1.41 M
2019-06-16 15:41:06,1.04 G,4.96 G,331.78 K,1.48 M
2019-06-16 15:41:08,1.04 G,4.96 G,316.28 K,1.40 M
2019-06-16 15:41:10,1.04 G,4.96 G,324.74 K,1.44 M
2019-06-16 15:41:12,1.04 G,4.97 G,310.25 K,1.36 M
2019-06-16 15:41:14,1.04 G,4.97 G,301.21 K,1.34 M
2019-06-16 15:41:16,1.04 G,4.97 G,341.58 K,1.50 M
2019-06-16 15:41:18,1.04 G,4.97 G,317.78 K,1.40 M
2019-06-16 15:41:20,1.04 G,4.98 G,313.42 K,1.37 M
2019-06-16 15:41:22,1.04 G,4.98 G,340.70 K,1.51 M
2019-06-16 15:41:24,1.04 G,4.98 G,337.18 K,1.49 M
2019-06-16 15:41:26,1.04 G,4.99 G,293.29 K,1.29 M
2019-06-16 15:41:28,1.04 G,4.99 G,302.34 K,1.34 M
2019-06-16 15:41:30,1.04 G,4.99 G,345.10 K,1.52 M
2019-06-16 15:41:32,1.04 G,4.99 G,298.78 K,1.30 M
2019-06-16 15:41:34,1.04 G,5.00 G,328.58 K,1.45 M
2019-06-16 15:41:36,1.04 G,5.00 G,328.03 K,1.44 M
2019-06-16 15:41:38,1.05 G,5.00 G,314.62 K,1.39 M
2019-06-16 15:41:40,1.05 G,5.01 G,321.02 K,1.41 M
2019-06-16 15:41:42,1.05 G,5.01 G,311.05 K,1.36 M
2019-06-16 15:41:44,1.05 G,5.01 G,328.26 K,1.45 M
2019-06-16 15:41:46,1.05 G,5.01 G,318.59 K,1.39 M
2019-06-16 15:41:48,1.05 G,5.01 G,28.17 K,124.76 K
2019-06-16 15:41:50,1.05 G,5.02 G,356.38 K,1.78 M
2019-06-16 15:41:52,1.05 G,5.02 G,357.56 K,1.86 M
2019-06-16 15:41:54,1.05 G,5.02 G,337.11 K,1.65 M
2019-06-16 15:41:56,1.05 G,5.03 G,352.67 K,1.79 M
2019-06-16 15:41:58,1.05 G,5.03 G,318.77 K,1.53 M
2019-06-16 15:42:00,1.05 G,5.03 G,334.67 K,1.78 M
2019-06-16 15:42:02,1.05 G,5.04 G,376.62 K,1.89 M
2019-06-16 15:42:04,1.05 G,5.04 G,313.27 K,1.57 M
2019-06-16 15:42:06,1.05 G,5.04 G,360.79 K,1.80 M
2019-06-16 15:42:08,1.05 G,5.05 G,127.05 K,642.54 K
2019-06-16 15:42:11,1.05 G,5.05 G,305.13 K,1.54 M
2019-06-16 15:42:13,1.06 G,5.05 G,117.00 K,609.79 K
2019-06-16 15:42:16,1.06 G,5.05 G,302.39 K,1.40 M
2019-06-16 15:42:18,1.06 G,5.06 G,301.32 K,1.42 M
2019-06-16 15:42:23,1.06 G,5.06 G,312.54 K,1.45 M
2019-06-16 15:42:25,1.06 G,5.06 G,283.41 K,1.31 M
2019-06-16 15:42:27,1.06 G,5.07 G,288.91 K,1.34 M
2019-06-16 15:42:30,1.06 G,5.07 G,333.17 K,1.42 M
2019-06-16 15:42:34,1.06 G,5.07 G,302.70 K,1.41 M
2019-06-16 15:42:36,1.06 G,5.08 G,280.79 K,1.31 M
2019-06-16 15:42:39,1.06 G,5.08 G,305.31 K,1.35 M
2019-06-16 15:42:41,1.06 G,5.08 G,334.56 K,1.48 M
2019-06-16 15:42:43,1.06 G,5.08 G,341.31 K,1.50 M
2019-06-16 15:42:45,1.06 G,5.09 G,322.34 K,1.41 M
2019-06-16 15:42:47,1.06 G,5.09 G,291.80 K,1.29 M
2019-06-16 15:42:49,1.06 G,5.09 G,296.82 K,1.30 M
2019-06-16 15:42:51,1.06 G,5.10 G,338.27 K,1.49 M
2019-06-16 15:42:53,1.07 G,5.10 G,318.73 K,1.41 M
2019-06-16 15:42:55,1.07 G,5.10 G,290.38 K,1.29 M
2019-06-16 15:42:57,1.07 G,5.10 G,338.40 K,1.48 M
2019-06-16 15:42:59,1.07 G,5.11 G,308.18 K,1.36 M
2019-06-16 15:43:01,1.07 G,5.11 G,301.79 K,1.35 M
2019-06-16 15:43:03,1.07 G,5.11 G,307.06 K,1.35 M
2019-06-16 15:43:05,1.07 G,5.11 G,326.01 K,1.44 M
2019-06-16 15:43:07,1.07 G,5.12 G,313.39 K,1.38 M
2019-06-16 15:43:09,1.07 G,5.12 G,334.83 K,1.48 M
2019-06-16 15:43:11,1.07 G,5.12 G,316.99 K,1.40 M
2019-06-16 15:43:13,1.07 G,5.13 G,306.73 K,1.34 M
2019-06-16 15:43:15,1.07 G,5.13 G,296.97 K,1.31 M
2019-06-16 15:43:17,1.07 G,5.13 G,297.17 K,1.32 M
2019-06-16 15:43:19,1.07 G,5.13 G,306.83 K,1.36 M
2019-06-16 15:43:21,1.07 G,5.14 G,314.14 K,1.38 M
2019-06-16 15:43:23,1.07 G,5.14 G,321.99 K,1.42 M
2019-06-16 15:43:25,1.07 G,5.14 G,318.17 K,1.41 M
2019-06-16 15:43:27,1.08 G,5.14 G,328.57 K,1.44 M
2019-06-16 15:43:29,1.08 G,5.15 G,284.33 K,1.25 M
2019-06-16 15:43:31,1.08 G,5.15 G,306.99 K,1.35 M
2019-06-16 15:43:33,1.08 G,5.15 G,296.11 K,1.31 M
2019-06-16 15:43:35,1.08 G,5.15 G,312.83 K,1.39 M
2019-06-16 15:43:37,1.08 G,5.16 G,300.13 K,1.33 M
2019-06-16 15:43:39,1.08 G,5.16 G,315.99 K,1.39 M
2019-06-16 15:43:41,1.08 G,5.16 G,297.94 K,1.31 M
2019-06-16 15:43:43,1.08 G,5.17 G,297.52 K,1.31 M
2019-06-16 15:43:45,1.08 G,5.17 G,289.82 K,1.28 M
2019-06-16 15:43:47,1.08 G,5.17 G,340.24 K,1.49 M
2019-06-16 15:43:49,1.08 G,5.17 G,296.65 K,1.30 M
2019-06-16 15:43:51,1.08 G,5.18 G,286.57 K,1.27 M
2019-06-16 15:43:53,1.08 G,5.18 G,247.44 K,1.10 M
2019-06-16 15:43:55,1.08 G,5.18 G,336.57 K,1.48 M
2019-06-16 15:43:57,1.08 G,5.18 G,282.90 K,1.26 M
2019-06-16 15:43:59,1.08 G,5.19 G,321.34 K,1.42 M
2019-06-16 15:44:01,1.09 G,5.19 G,327.24 K,1.43 M
2019-06-16 15:44:03,1.09 G,5.19 G,280.93 K,1.24 M
2019-06-16 15:44:05,1.09 G,5.19 G,307.38 K,1.35 M
2019-06-16 15:44:07,1.09 G,5.20 G,344.05 K,1.52 M
2019-06-16 15:44:09,1.09 G,5.20 G,321.46 K,1.42 M
2019-06-16 15:44:11,1.09 G,5.20 G,294.36 K,1.28 M
2019-06-16 15:44:13,1.09 G,5.20 G,308.37 K,1.35 M
2019-06-16 15:44:15,1.09 G,5.21 G,282.20 K,1.25 M
2019-06-16 15:44:17,1.09 G,5.21 G,290.08 K,1.29 M
2019-06-16 15:44:19,1.09 G,5.21 G,287.73 K,1.27 M
2019-06-16 15:44:21,1.09 G,5.21 G,282.64 K,1.26 M
2019-06-16 15:44:23,1.09 G,5.22 G,288.78 K,1.27 M
