2019-06-08 20:12:10,3.18 M,174.17 M,5.75 K,189.21 K
2019-06-08 20:12:12,3.18 M,174.17 M,0.00 B,552.00 B
2019-06-08 20:12:14,3.19 M,174.35 M,5.88 K,190.70 K
2019-06-08 20:12:16,3.19 M,174.35 M,0.00 B,396.00 B
2019-06-08 20:12:18,3.19 M,174.36 M,0.00 B,828.00 B
2019-06-08 20:12:20,3.19 M,174.54 M,0.00 B,444.00 B
2019-06-08 20:12:22,3.19 M,174.54 M,0.00 B,540.00 B
2019-06-08 20:12:24,3.20 M,174.71 M,84.00 B,876.00 B
2019-06-08 20:12:26,3.20 M,174.71 M,0.00 B,1.16 K
2019-06-08 20:12:28,3.20 M,174.91 M,0.00 B,1.17 K
2019-06-08 20:12:30,3.20 M,174.91 M,0.00 B,768.00 B
2019-06-08 20:12:33,3.21 M,174.98 M,0.00 B,216.00 B
2019-06-08 20:12:35,3.21 M,175.01 M,1.16 K,29.33 K
2019-06-08 20:12:37,3.21 M,175.01 M,0.00 B,108.00 B
2019-06-08 20:12:39,3.21 M,175.02 M,462.00 B,2.70 K
2019-06-08 20:12:41,3.21 M,175.02 M,0.00 B,756.00 B
2019-06-08 20:12:43,3.21 M,175.02 M,0.00 B,168.00 B
2019-06-08 20:12:45,3.21 M,175.02 M,858.00 B,4.75 K
2019-06-08 20:12:47,3.21 M,175.02 M,0.00 B,756.00 B
2019-06-08 20:12:49,3.21 M,175.03 M,0.00 B,384.00 B
2019-06-08 20:12:51,3.21 M,175.03 M,462.00 B,2.88 K
2019-06-08 20:12:54,3.21 M,175.03 M,42.00 B,708.00 B
2019-06-08 20:12:56,3.21 M,175.03 M,0.00 B,972.00 B
2019-06-08 20:12:59,3.22 M,175.04 M,0.00 B,492.00 B
2019-06-08 20:13:01,3.22 M,175.05 M,0.00 B,13.39 K
2019-06-08 20:13:04,3.22 M,175.06 M,0.00 B,1.08 K
2019-06-08 20:13:06,3.22 M,175.06 M,0.00 B,768.00 B
2019-06-08 20:13:09,3.22 M,175.06 M,0.00 B,660.00 B
2019-06-08 20:13:11,3.22 M,175.07 M,0.00 B,384.00 B
2019-06-08 20:13:14,3.22 M,175.07 M,0.00 B,660.00 B
2019-06-08 20:13:16,3.22 M,175.07 M,0.00 B,564.00 B
2019-06-08 20:13:19,3.22 M,175.11 M,0.00 B,1.07 K
2019-06-08 20:13:21,3.22 M,175.11 M,204.00 B,1.20 K
2019-06-08 20:13:23,3.22 M,175.11 M,396.00 B,3.58 K
2019-06-08 20:13:25,3.22 M,175.12 M,0.00 B,828.00 B
2019-06-08 20:13:27,3.22 M,175.12 M,0.00 B,996.00 B
2019-06-08 20:13:30,3.23 M,175.12 M,0.00 B,708.00 B
2019-06-08 20:13:32,3.23 M,175.12 M,0.00 B,708.00 B
2019-06-08 20:13:35,3.23 M,175.19 M,0.00 B,432.00 B
2019-06-08 20:13:37,3.23 M,175.20 M,0.00 B,600.00 B
2019-06-08 20:13:39,3.23 M,175.20 M,726.00 B,7.69 K
2019-06-08 20:13:41,3.23 M,175.21 M,0.00 B,864.00 B
2019-06-08 20:13:43,3.23 M,175.21 M,0.00 B,756.00 B
2019-06-08 20:13:45,3.23 M,175.21 M,2.22 K,3.29 K
2019-06-08 20:13:47,3.23 M,175.21 M,0.00 B,324.00 B
2019-06-08 20:13:49,3.23 M,175.22 M,462.00 B,2.85 K
2019-06-08 20:13:51,3.23 M,175.22 M,0.00 B,1.09 K
2019-06-08 20:13:53,3.24 M,175.42 M,3.87 K,208.00 K
2019-06-08 20:13:55,3.24 M,175.43 M,42.00 B,1.50 K
2019-06-08 20:13:57,3.24 M,175.63 M,6.21 K,208.00 K
2019-06-08 20:13:59,3.24 M,175.63 M,0.00 B,3.59 K
2019-06-08 20:14:01,3.25 M,175.85 M,0.00 B,924.00 B
2019-06-08 20:14:03,3.25 M,175.85 M,0.00 B,924.00 B
2019-06-08 20:14:05,3.26 M,176.05 M,6.47 K,207.78 K
2019-06-08 20:14:07,3.26 M,176.06 M,0.00 B,720.00 B
2019-06-08 20:14:09,3.26 M,176.26 M,6.60 K,208.55 K
2019-06-08 20:14:11,3.26 M,176.26 M,0.00 B,288.00 B
2019-06-08 20:14:14,3.27 M,176.46 M,7.05 K,208.75 K
2019-06-08 20:14:16,3.27 M,176.47 M,0.00 B,816.00 B
2019-06-08 20:14:18,3.27 M,176.47 M,0.00 B,1.36 K
2019-06-08 20:14:20,3.28 M,176.68 M,0.00 B,612.00 B
2019-06-08 20:14:22,3.28 M,176.68 M,0.00 B,660.00 B
2019-06-08 20:14:24,3.28 M,176.70 M,42.00 B,1.12 K
2019-06-08 20:14:26,3.29 M,176.70 M,0.00 B,888.00 B
2019-06-08 20:14:28,3.29 M,176.71 M,42.00 B,1.04 K
2019-06-08 20:14:31,3.29 M,176.71 M,0.00 B,780.00 B
2019-06-08 20:14:33,3.29 M,176.71 M,0.00 B,504.00 B
2019-06-08 20:14:35,3.29 M,176.93 M,0.00 B,768.00 B
2019-06-08 20:14:37,3.29 M,176.93 M,0.00 B,504.00 B
2019-06-08 20:14:39,3.30 M,177.15 M,6.42 K,224.77 K
2019-06-08 20:14:41,3.30 M,177.15 M,0.00 B,228.00 B
2019-06-08 20:14:43,3.31 M,177.37 M,5.98 K,230.58 K
2019-06-08 20:14:45,3.31 M,177.37 M,0.00 B,648.00 B
2019-06-08 20:14:47,3.31 M,177.61 M,6.04 K,243.71 K
2019-06-08 20:14:49,3.31 M,177.62 M,0.00 B,1.03 K
2019-06-08 20:14:51,3.32 M,177.83 M,5.93 K,215.72 K
2019-06-08 20:14:53,3.32 M,177.83 M,0.00 B,1.62 K
2019-06-08 20:14:55,3.32 M,178.04 M,6.05 K,218.59 K
2019-06-08 20:14:57,3.32 M,178.05 M,0.00 B,1.16 K
2019-06-08 20:14:59,3.33 M,178.26 M,6.41 K,219.73 K
2019-06-08 20:15:01,3.33 M,178.28 M,0.00 B,1.16 K
2019-06-08 20:15:03,3.33 M,178.28 M,0.00 B,216.00 B
2019-06-08 20:15:05,3.34 M,178.51 M,10.25 K,236.49 K
2019-06-08 20:15:07,3.35 M,178.88 M,0.00 B,540.00 B
2019-06-08 20:15:09,3.35 M,178.88 M,0.00 B,276.00 B
2019-06-08 20:15:11,3.35 M,179.09 M,0.00 B,336.00 B
2019-06-08 20:15:13,3.35 M,179.09 M,0.00 B,648.00 B
2019-06-08 20:15:15,3.36 M,179.32 M,3.53 K,85.86 K
2019-06-08 20:15:17,3.36 M,179.32 M,0.00 B,1.02 K
2019-06-08 20:15:19,3.36 M,179.53 M,6.08 K,217.98 K
2019-06-08 20:15:21,3.36 M,179.53 M,0.00 B,324.00 B
2019-06-08 20:15:23,3.37 M,179.73 M,6.00 K,202.89 K
2019-06-08 20:15:25,3.37 M,179.73 M,42.00 B,708.00 B
2019-06-08 20:15:27,3.38 M,179.95 M,6.21 K,222.56 K
2019-06-08 20:15:29,3.38 M,179.95 M,84.00 B,336.00 B
2019-06-08 20:15:31,3.38 M,179.95 M,0.00 B,816.00 B
2019-06-08 20:15:33,3.38 M,180.15 M,0.00 B,504.00 B
2019-06-08 20:15:35,3.38 M,180.15 M,0.00 B,276.00 B
2019-06-08 20:15:38,3.39 M,180.27 M,0.00 B,216.00 B
2019-06-08 20:15:40,3.39 M,180.27 M,0.00 B,504.00 B
2019-06-08 20:15:43,3.39 M,180.27 M,0.00 B,504.00 B
2019-06-08 20:15:45,3.39 M,180.28 M,0.00 B,876.00 B
2019-06-08 20:15:47,3.39 M,180.28 M,528.00 B,1.92 K
2019-06-08 20:15:49,3.39 M,180.28 M,0.00 B,1.32 K
