2019-06-03 15:16:42,12.26 M,368.32 M,0.00 B,828.00 B
2019-06-03 15:16:44,12.27 M,368.53 M,0.00 B,828.00 B
2019-06-03 15:16:46,12.27 M,368.53 M,0.00 B,972.00 B
2019-06-03 15:16:48,12.27 M,368.53 M,0.00 B,600.00 B
2019-06-03 15:16:50,12.27 M,368.53 M,0.00 B,720.00 B
2019-06-03 15:16:52,12.27 M,368.74 M,6.08 K,210.11 K
2019-06-03 15:16:54,12.27 M,368.74 M,0.00 B,600.00 B
2019-06-03 15:16:56,12.27 M,368.74 M,0.00 B,816.00 B
2019-06-03 15:16:58,12.27 M,368.75 M,0.00 B,1.22 K
2019-06-03 15:17:00,12.27 M,368.76 M,0.00 B,12.87 K
2019-06-03 15:17:02,12.29 M,368.97 M,4.49 K,5.13 K
2019-06-03 15:17:04,12.29 M,368.97 M,0.00 B,1.62 K
2019-06-03 15:17:06,12.29 M,368.97 M,0.00 B,336.00 B
2019-06-03 15:17:08,12.29 M,368.97 M,0.00 B,444.00 B
2019-06-03 15:17:10,12.29 M,369.18 M,6.60 K,210.52 K
2019-06-03 15:17:12,12.29 M,369.18 M,0.00 B,828.00 B
2019-06-03 15:17:14,12.29 M,369.18 M,0.00 B,1.12 K
2019-06-03 15:17:16,12.29 M,369.19 M,84.00 B,1.38 K
2019-06-03 15:17:18,12.29 M,369.19 M,0.00 B,504.00 B
2019-06-03 15:17:20,12.30 M,369.39 M,6.92 K,209.98 K
2019-06-03 15:17:22,12.30 M,369.39 M,0.00 B,168.00 B
2019-06-03 15:17:25,12.30 M,369.40 M,0.00 B,876.00 B
2019-06-03 15:17:27,12.30 M,369.40 M,0.00 B,1.02 K
2019-06-03 15:17:29,12.30 M,369.40 M,0.00 B,840.00 B
2019-06-03 15:17:31,12.30 M,369.61 M,0.00 B,972.00 B
2019-06-03 15:17:33,12.30 M,369.61 M,0.00 B,432.00 B
2019-06-03 15:17:35,12.30 M,369.61 M,0.00 B,840.00 B
2019-06-03 15:17:37,12.30 M,369.61 M,0.00 B,612.00 B
2019-06-03 15:17:39,12.30 M,369.61 M,0.00 B,840.00 B
2019-06-03 15:17:41,12.31 M,369.82 M,6.81 K,211.10 K
2019-06-03 15:17:43,12.31 M,369.82 M,0.00 B,492.00 B
2019-06-03 15:17:45,12.31 M,369.82 M,0.00 B,768.00 B
2019-06-03 15:17:47,12.31 M,369.82 M,0.00 B,1.62 K
2019-06-03 15:17:49,12.31 M,369.82 M,0.00 B,612.00 B
2019-06-03 15:17:51,12.32 M,370.03 M,6.34 K,210.67 K
2019-06-03 15:17:53,12.32 M,370.03 M,0.00 B,1.22 K
2019-06-03 15:17:55,12.32 M,370.03 M,0.00 B,876.00 B
2019-06-03 15:17:57,12.32 M,370.03 M,0.00 B,1.07 K
2019-06-03 15:17:59,12.32 M,370.04 M,0.00 B,612.00 B
2019-06-03 15:18:01,12.32 M,370.25 M,7.31 K,222.58 K
2019-06-03 15:18:03,12.32 M,370.26 M,0.00 B,1.12 K
2019-06-03 15:18:05,12.32 M,370.26 M,0.00 B,552.00 B
2019-06-03 15:18:07,12.32 M,370.26 M,0.00 B,1011.00 B
2019-06-03 15:18:09,12.32 M,370.26 M,0.00 B,780.00 B
2019-06-03 15:18:11,12.33 M,370.47 M,0.00 B,672.00 B
2019-06-03 15:18:13,12.33 M,370.47 M,204.00 B,1.31 K
2019-06-03 15:18:15,12.33 M,370.47 M,42.00 B,768.00 B
2019-06-03 15:18:17,12.33 M,370.47 M,0.00 B,456.00 B
2019-06-03 15:18:19,12.33 M,370.53 M,2.90 K,61.24 K
2019-06-03 15:18:21,12.34 M,370.53 M,0.00 B,1.07 K
2019-06-03 15:18:23,12.34 M,370.54 M,0.00 B,552.00 B
2019-06-03 15:18:25,12.34 M,370.54 M,0.00 B,228.00 B
2019-06-03 15:18:27,12.34 M,370.54 M,0.00 B,1.32 K
2019-06-03 15:18:29,12.34 M,370.54 M,0.00 B,1.07 K
2019-06-03 15:18:31,12.34 M,370.61 M,0.00 B,816.00 B
2019-06-03 15:18:33,12.34 M,370.62 M,0.00 B,384.00 B
2019-06-03 15:18:35,12.34 M,370.62 M,0.00 B,540.00 B
2019-06-03 15:18:37,12.34 M,370.62 M,0.00 B,168.00 B
2019-06-03 15:18:39,12.34 M,370.62 M,0.00 B,756.00 B
2019-06-03 15:18:41,12.35 M,370.70 M,0.00 B,996.00 B
2019-06-03 15:18:43,12.35 M,370.70 M,0.00 B,432.00 B
2019-06-03 15:18:45,12.35 M,370.70 M,0.00 B,336.00 B
2019-06-03 15:18:47,12.35 M,370.70 M,0.00 B,735.00 B
2019-06-03 15:18:49,12.35 M,370.70 M,0.00 B,396.00 B
2019-06-03 15:18:51,12.36 M,370.78 M,6.90 K,77.28 K
2019-06-03 15:18:53,12.36 M,370.78 M,0.00 B,1.17 K
2019-06-03 15:18:55,12.36 M,370.78 M,0.00 B,888.00 B
2019-06-03 15:18:57,12.36 M,370.78 M,0.00 B,336.00 B
2019-06-03 15:18:59,12.36 M,370.78 M,0.00 B,1.20 K
2019-06-03 15:19:01,12.36 M,370.88 M,5.94 K,92.75 K
